D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid,seed,iteration
0.500000,0.3,0.766199,4.0,248.521939,2135.97659,2151.800364,0.0135,0.014116,0.503717,0.061572,55.919736,39.0,7.658420445361477,0.0,5,0
0.707644,0.477186,0.821649,2.0,204.302053,1093.00841,506.664886,0.016,0.014522,0.299018,0.12247,40.498295,39.0,1.4799790191737172,0.0,5,0
0.768516,1.000812,0.956038,5.0,182.992852,768.72955,215.348727,0.01225,0.011139,0.211779,0.17996,30.933224,39.0,0.1768115136697043,0.0,5,0
0.662307,0.938766,1.203122,7.0,217.323363,864.390203,429.984216,0.00975,0.010932,0.349413,0.186806,29.975616,39.0,0.9785821347817143,0.0,5,0
0.500000,0.734554,0.71042,7.0,250.494281,2038.451935,955.670165,0.00975,0.012507,0.222552,0.06898,53.366547,39.0,2.8151360269699013,0.0,5,0
0.687104,1.05,1.388325,2.0,205.075233,725.601362,375.555525,0.016,0.014281,0.40072,0.218817,26.104724,39.0,0.8313019555153393,0.0,5,0
0.616094,1.05,0.58648,2.0,255.463788,1773.912046,495.819802,0.016,0.015744,0.085754,0.058194,57.223934,39.0,0.9408687014151603,0.0,5,0
0.549296,0.474745,1.134615,4.0,269.873892,1417.620088,1227.924684,0.0135,0.01379,0.542781,0.121062,40.772241,39.0,3.5499678684828555,0.0,5,0
0.800000,0.706325,1.362286,4.0,207.271995,599.800436,423.76237,0.0135,0.01127,0.465154,0.227518,25.124382,39.0,1.0444712066737578,0.0,5,0
0.785293,0.546196,0.949581,7.0,174.438672,738.040629,370.443362,0.00975,0.010092,0.384635,0.18406,30.346654,39.0,1.1236144045465193,0.0,5,0
0.644936,0.838687,0.621516,6.0,200.722396,1407.13584,364.504464,0.011,0.011324,0.142597,0.090886,47.517241,39.0,0.8159681100644284,0.0,5,0
0.610218,0.827077,0.786321,4.0,218.568401,1373.352901,434.508283,0.0135,0.013103,0.197713,0.106135,43.879897,39.0,0.9879700546099368,0.0,5,0
0.639358,1.045325,1.304999,7.0,231.794705,883.843831,462.265244,0.00975,0.011012,0.356563,0.18969,29.588161,39.0,0.9943165227407472,0.0,5,0
0.728615,0.795999,0.795369,6.0,181.861909,948.194014,260.317627,0.011,0.010829,0.209476,0.146343,36.173791,39.0,0.43140430358814563,0.0,5,0
0.604284,0.3,1.02011,5.0,226.333134,1261.774344,1290.681392,0.01225,0.012238,0.713422,0.125627,39.922857,39.0,4.702553684327414,0.0,5,0
0.724676,0.832623,1.4,6.0,220.637716,688.929272,457.837442,0.011,0.010626,0.453289,0.218446,26.140682,39.0,1.0750620290598134,0.0,5,0
0.589550,0.695818,0.5,3.0,232.554081,2055.356517,726.077179,0.01475,0.013865,0.112934,0.045258,63.446318,39.0,2.122166507490389,0.0,5,0
0.500000,0.310295,1.217195,4.0,301.794878,1735.921815,2585.15761,0.0135,0.014151,0.831262,0.099497,45.446327,39.0,7.565938110490975,0.0,5,0
0.545894,0.49441,0.737939,3.0,240.177892,1846.004694,1048.99963,0.01475,0.014744,0.284658,0.070905,52.764259,39.0,3.3675690240625324,0.0,5,0
0.658024,0.442267,0.657734,6.0,196.267325,1298.926308,598.928493,0.011,0.011258,0.294846,0.102334,44.753312,39.0,2.051650357530969,0.0,5,0
0.514952,0.856183,1.108428,6.0,270.291017,1489.555443,812.553837,0.011,0.012971,0.351169,0.124331,40.162628,39.0,2.006233889794677,0.0,5,0
0.610670,0.677867,1.086014,3.0,249.640374,1151.15495,646.402191,0.01475,0.014367,0.369415,0.142668,36.807727,39.0,1.5893332772590911,0.0,5,0
0.518720,0.455985,1.145087,6.0,272.240841,1531.26378,1481.296309,0.011,0.012699,0.612647,0.116896,41.589312,39.0,4.441140452026213,0.0,5,0
0.687213,0.378111,0.772656,3.0,192.492114,1177.564481,632.730094,0.01475,0.013001,0.361908,0.113075,42.371602,39.0,2.287052704104945,0.0,5,0
0.568626,0.361337,0.585879,6.0,224.284463,1826.383973,1213.657852,0.011,0.012037,0.324921,0.065896,54.377252,39.0,4.411254771120705,0.0,5,0
0.623303,0.697205,0.756285,4.0,211.45007,1361.378053,472.662811,0.0135,0.012878,0.217406,0.103719,44.430055,39.0,1.2353380038780817,0.0,5,0
0.584317,0.358026,0.89921,2.0,241.767229,1525.986967,1209.482812,0.016,0.015923,0.454722,0.094624,46.687246,39.0,4.002676169731971,0.0,5,0
0.509760,0.790166,0.969321,4.0,270.831247,1690.897857,859.777654,0.0135,0.014556,0.296781,0.10078,45.131749,39.0,2.174611982546634,0.0,5,0
0.629102,0.817778,1.384531,5.0,254.993266,916.027781,638.87972,0.01225,0.011998,0.464454,0.185375,30.17369,39.0,1.5054834794335803,0.0,5,0
0.635358,1.05,0.635687,2.0,240.652053,1560.43993,402.336666,0.016,0.015539,0.098896,0.073759,51.911558,39.0,0.671864678668331,0.0,5,0
0.621585,0.732757,0.766199,6.0,206.498979,1307.532381,448.488913,0.011,0.011663,0.227137,0.112229,42.555088,39.0,1.1718733755396684,0.0,5,1
0.800000,0.747251,0.5,4.0,179.742813,1148.263114,239.985803,0.0135,0.011126,0.097371,0.088369,48.098333,39.0,0.335158891976273,0.0,5,1
0.768516,1.05,0.513738,5.0,197.324985,1240.067655,252.472724,0.01225,0.01086,0.070216,0.081177,49.899592,39.0,0.2794767179487179,0.0,5,1
0.662307,1.032072,1.395463,7.0,230.470148,800.611034,461.182674,0.00975,0.010663,0.390874,0.204068,27.763861,39.0,1.0010337323938472,0.0,5,1
0.741074,1.05,0.555174,7.0,189.423114,1195.011145,233.741711,0.00975,0.010209,0.088407,0.095828,46.36946,39.0,0.23392084194187618,0.0,5,1
0.687104,0.599696,1.388325,2.0,256.298757,818.114463,745.884921,0.016,0.01467,0.555369,0.190834,29.433038,39.0,1.9102204009767652,0.0,5,1
0.762376,0.42826,0.58648,3.0,171.890926,1138.142014,398.951283,0.01475,0.012141,0.214539,0.099507,45.432267,39.0,1.3209490976073583,0.0,5,1
0.549296,0.884127,0.5,7.0,237.56994,2190.553202,722.067319,0.00975,0.011631,0.104156,0.046041,63.002609,39.0,2.0394190156950214,0.0,5,1
0.500255,0.765541,0.60135,6.0,247.714923,2307.96534,958.654284,0.011,0.01277,0.162017,0.050928,60.453256,39.0,2.8699847570423134,0.0,5,1
0.587646,0.786795,1.309885,3.0,272.121817,1083.346244,741.101133,0.01475,0.014443,0.446491,0.163945,33.333545,39.0,1.7234194394461557,0.0,5,1
