D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid,seed,iteration
0.734577,0.420425,0.983845,7.0,0.0,716.48814,0.0,0.00975,0.009659,0.516291,0.206466,27.557843,39.0,1.5006102699718114,0.0,7,1
0.769997,0.724515,0.5,3.0,0.0,1090.381077,0.0,0.01475,0.011326,0.095624,0.105977,43.960814,39.0,0.12720035897435894,0.0,7,1
0.739361,0.845164,1.4,7.0,0.0,562.561762,0.0,0.00975,0.009397,0.451939,0.263895,21.778378,39.0,0.7125712878228083,0.0,7,1
0.675846,1.05,0.724159,5.0,126.427561,1022.091338,126.427561,0.01225,0.010888,0.134206,0.146768,36.168944,39.0,0.0,1.0,7,1
0.587162,0.545463,0.952827,2.0,0.0,1203.348682,0.0,0.016,0.01509,0.349998,0.141946,36.995438,39.0,1.4657123131331633,0.0,7,1
0.629184,1.05,1.003097,7.0,0.0,907.930363,0.0,0.00975,0.010565,0.243275,0.187855,29.910858,39.0,0.3721562770008582,0.0,7,1
0.643280,0.654182,1.14454,5.0,0.0,851.912762,0.0,0.01225,0.011175,0.421114,0.197173,28.694179,39.0,1.135758952797797,0.0,7,1
0.563859,0.37269,1.01919,5.0,0.0,1220.706075,0.0,0.01225,0.011793,0.596748,0.147579,36.039654,39.0,3.0435834366678183,0.0,7,1
0.590033,0.877475,0.847778,3.0,0.0,1210.099046,0.0,0.01475,0.013459,0.205176,0.139753,37.384893,39.0,0.46813306333316645,0.0,7,1
0.780633,0.901376,1.390721,4.0,0.0,517.128337,0.0,0.0135,0.01056,0.400205,0.271946,21.137021,39.0,0.4716340744118316,0.0,7,1
0.686295,0.392288,1.143329,4.0,0.0,804.974802,0.0,0.0135,0.011304,0.604974,0.195363,28.926223,39.0,2.0966662059857804,0.0,7,1
0.531689,1.0363,1.079838,7.0,0.0,1196.028943,0.0,0.00975,0.011443,0.287736,0.164658,33.296481,39.0,0.8954273000624217,0.0,7,1
0.656410,0.895332,0.868256,3.0,0.0,974.751073,0.0,0.01475,0.012754,0.201779,0.163256,33.501771,39.0,0.23596682510903103,0.0,7,1
0.553434,0.947588,0.70849,5.0,0.0,1500.91814,0.0,0.01225,0.01196,0.154829,0.108133,43.493177,39.0,0.5470482358361153,0.0,7,1
0.736988,0.972403,0.886246,5.0,0.0,753.092034,0.0,0.01225,0.010528,0.19463,0.194315,29.060764,39.0,0.001621079175565498,0.0,7,1
0.674918,0.5572,1.141816,6.0,0.0,776.703406,0.0,0.011,0.010382,0.488364,0.207446,27.447647,39.0,1.3541740983195627,0.0,7,1
0.581316,0.530408,0.637294,2.0,0.0,1588.586052,0.0,0.016,0.014585,0.199123,0.087537,48.352796,39.0,1.5145448249874116,0.0,7,1
0.577663,1.05,1.127542,6.0,0.0,1006.369777,0.0,0.011,0.011376,0.28988,0.184025,30.439021,39.0,0.6082727974303317,0.0,7,1
0.592774,0.730303,0.965291,4.0,0.0,1101.04599,0.0,0.0135,0.012416,0.300884,0.158932,34.173807,39.0,0.8931618553846928,0.0,7,1
