D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.627241,0.819337,1.283438,5.0,245.210436,957.274745,0.0,0.01225,0.012167,0.417461,0.176634,31.439048,39.0,1.3634238028918555,0.0
0.640013,0.703498,0.538258,2.0,227.585142,1733.836371,0.0,0.016,0.015001,0.113503,0.056074,58.102599,39.0,1.513974727684022,0.0
0.562496,0.41199,1.077428,2.0,279.258331,1466.613544,0.0,0.016,0.016567,0.52305,0.109275,43.195037,39.0,3.928337415524683,0.0
0.545951,0.479035,0.982569,6.0,243.255675,1482.715191,0.0,0.011,0.01244,0.483606,0.113045,42.384794,39.0,3.4805407052755055,0.0
0.694026,0.47811,1.172941,3.0,229.576134,903.857331,0.0,0.01475,0.013231,0.516466,0.167195,32.845378,39.0,2.0890038577708663,0.0
0.597726,0.5031,0.707357,7.0,214.926826,1466.025141,0.0,0.00975,0.011451,0.304224,0.097743,45.881946,39.0,2.4374950062468654,0.0
0.517482,0.353725,1.234666,4.0,296.549472,1589.781007,0.0,0.0135,0.013966,0.759737,0.109844,43.075596,39.0,6.05437807647523,0.0
0.583181,1.026527,1.201374,2.0,246.138478,1101.549152,0.0,0.016,0.016273,0.330771,0.161959,33.636147,39.0,1.0590894331730993,0.0
0.731276,0.33383,0.786899,7.0,186.072165,957.780677,0.0,0.00975,0.010446,0.481491,0.143405,36.672972,39.0,2.424189129003883,0.0
0.600053,0.884785,0.632785,4.0,220.699942,1654.299776,0.0,0.0135,0.013007,0.13153,0.073542,51.975914,39.0,1.1212175520801302,0.0
0.652629,0.581433,1.260077,2.0,262.481367,960.707795,0.0,0.016,0.015395,0.494733,0.167325,32.828897,39.0,1.956718960107575,0.0
0.700957,0.757998,0.899046,7.0,190.862847,928.915129,0.0,0.00975,0.010699,0.275031,0.158986,34.09307,39.0,0.8186069143329512,0.0
0.721848,0.98008,0.732787,6.0,185.852462,1023.101129,0.0,0.011,0.010875,0.149642,0.132588,38.669012,39.0,0.1286240082058707,0.0
0.760227,1.036841,0.915673,6.0,182.903194,796.824578,0.0,0.011,0.010725,0.196889,0.174743,31.717895,39.0,0.1267346903738633,0.0
0.682541,0.59398,0.652945,2.0,206.859587,1341.67587,0.0,0.016,0.014634,0.177432,0.089023,47.948508,39.0,1.2225518290675097,0.0
