D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.574184,2,0.519641,1.068988,134.338598,1080.811150,0.239194,1.007000,0.016000,0.014580,0.429447,0.170399,32.493727,39.000000,0.000000,0,1
0.620740,6,0.861774,0.978650,106.046670,882.547606,0.301577,1.012714,0.011000,0.010490,0.275307,0.197538,28.684433,39.000000,0.000000,0,2
0.651273,3,0.777598,0.721633,103.527679,1040.934593,0.304236,1.028970,0.014750,0.012061,0.169733,0.151102,35.496454,39.000000,0.000000,0,3
0.618326,3,0.737243,0.909530,112.788558,981.649748,0.282321,1.017086,0.014750,0.012564,0.260168,0.175062,31.781374,39.000000,0.000000,0,4
0.727298,2,0.910602,0.835734,101.679037,773.301909,0.312456,1.021753,0.016000,0.012946,0.172002,0.191565,29.448305,39.000000,0.000000,0,5
0.679344,4,1.042875,1.025948,101.929330,732.453047,0.315094,1.009722,0.013500,0.011134,0.231318,0.220529,26.053626,39.000000,0.000000,0,6
0.671694,2,0.309818,1.044816,107.978874,863.554787,0.297734,1.008529,0.016000,0.012975,0.592667,0.184720,30.371078,39.000000,0.000000,0,7
0.757068,4,0.947957,1.275126,100.310997,525.852681,0.325768,0.993962,0.013500,0.010425,0.337670,0.276476,20.844797,39.000000,0.000000,0,8
0.681131,3,0.392948,1.310698,118.800991,717.178616,0.275250,0.991712,0.014750,0.011561,0.686914,0.224680,25.577398,39.000000,0.000000,0,9
0.672591,6,0.662022,1.261325,108.212802,671.727015,0.301178,0.994835,0.011000,0.009921,0.480377,0.243221,23.656082,39.000000,0.000000,0,10
0.637659,6,0.471108,1.269064,114.497124,768.538938,0.284592,0.994345,0.011000,0.010092,0.643937,0.223967,25.659781,39.000000,0.000000,0,11
0.589016,5,0.991480,1.202303,121.320035,864.936688,0.267179,0.998568,0.012250,0.011231,0.327197,0.214683,26.675330,39.000000,0.000000,0,12
0.714781,4,0.787978,1.010822,98.385184,686.644535,0.326359,1.010679,0.013500,0.010836,0.282091,0.223591,25.698253,39.000000,0.000000,0,13
0.726038,7,0.749256,1.062328,92.955725,621.113099,0.346624,1.007421,0.009750,0.009359,0.343853,0.243648,23.611761,39.000000,0.000000,0,14
0.516407,4,0.767369,0.601825,120.695731,1782.726592,0.258335,1.036548,0.013500,0.012344,0.146238,0.088258,48.203128,39.000000,0.000000,0,15
0.552989,3,0.981619,1.236693,129.946274,956.591675,0.249793,0.996393,0.014750,0.013197,0.352790,0.205671,27.697579,39.000000,0.000000,0,16
0.576651,3,0.875512,1.206837,128.184144,914.421115,0.252864,0.998281,0.014750,0.012989,0.362169,0.206414,27.609484,39.000000,0.000000,0,17
0.763729,7,0.855983,0.632304,87.564089,796.052580,0.358571,1.034620,0.009750,0.009095,0.134748,0.174682,31.833134,39.000000,0.000000,0,18
0.516051,5,0.890588,1.052968,130.323116,1212.111271,0.246010,1.008013,0.012250,0.012048,0.305478,0.168593,32.751688,39.000000,0.000000,0,19
0.632162,2,0.518593,0.505465,104.632766,1453.557817,0.296961,1.042643,0.016000,0.013035,0.140282,0.088626,48.112674,39.000000,0.000000,0,20
0.762352,2,0.643017,0.505756,95.838970,1041.187812,0.325088,1.042625,0.016000,0.012039,0.102990,0.117384,41.560761,39.000000,0.000000,0,21
0.707840,7,0.370571,1.109418,97.202229,669.222942,0.332334,1.004443,0.009750,0.009357,0.674205,0.231827,24.803010,39.000000,0.000000,0,22
0.747246,3,0.616405,1.241143,106.927921,581.810845,0.304878,0.996111,0.014750,0.011306,0.445120,0.252847,22.763774,39.000000,0.000000,0,23
