D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.604523,0.370371,0.5,5.0,135.076226,1558.373497,430.899819,0.01225,0.011194,0.244627,0.083626,49.326823,39.0,2.1900408535064853,0.0
0.756786,0.608315,1.360531,3.0,142.914768,589.862463,299.944388,0.01475,0.011566,0.515576,0.245657,23.373444,39.0,1.0987637234029564,0.0
0.704797,0.722459,0.5,5.0,122.540532,1209.713303,150.472152,0.01225,0.010401,0.111593,0.103015,44.64214,39.0,0.22793968319276378,0.0
0.800000,0.605968,0.540583,6.0,109.626013,886.827538,115.776339,0.011,0.009498,0.148944,0.141032,37.147345,39.0,0.056100743093765976,0.0
0.758475,0.3,1.4,3.0,141.68027,641.004507,560.754244,0.01475,0.011127,0.891937,0.225357,25.456641,39.0,2.957884600877718,0.0
0.800000,0.689714,0.641017,2.0,118.275862,874.920125,118.275862,0.016,0.012537,0.137762,0.143895,36.648568,39.0,0.0,1.0
0.614623,0.88046,0.550789,2.0,159.482906,1598.069104,246.315457,0.016,0.014408,0.092685,0.075613,51.428427,39.0,0.5444588963812694,0.0
0.650633,0.50336,1.11293,2.0,158.769967,913.630594,400.152373,0.016,0.014264,0.451654,0.179204,31.124704,39.0,1.5203343675364387,0.0
0.800000,0.7332,0.890821,7.0,108.394315,630.750309,131.609089,0.00975,0.009351,0.262963,0.216578,26.420807,39.0,0.21417226126384034,0.0
0.590720,0.48554,0.994705,5.0,146.041964,1106.476729,421.807772,0.01225,0.011602,0.458137,0.15862,34.223355,39.0,1.8882675576850334,0.0
0.769977,0.592856,0.593446,4.0,109.906192,929.736,129.462982,0.0135,0.010558,0.163933,0.139169,37.483151,39.0,0.17794192672218678,0.0
0.686668,1.027848,1.4,2.0,131.623307,624.559335,209.783533,0.016,0.013171,0.407831,0.255883,22.455314,39.0,0.5938182685055278,0.0
0.723363,1.05,0.931452,6.0,121.682944,743.51143,121.818991,0.011,0.010216,0.201647,0.201422,28.160643,39.0,0.0011170577196135626,0.0
0.671326,0.78282,0.694534,4.0,125.727966,1078.780359,151.61323,0.0135,0.011454,0.164982,0.136814,37.919737,39.0,0.2058853626090897,0.0
0.763908,0.480783,0.5,3.0,111.973246,1080.588998,167.230664,0.01475,0.011183,0.151488,0.109358,43.221523,39.0,0.4934926295319866,0.0
0.744268,0.587571,1.4,3.0,146.911294,602.542162,332.941065,0.01475,0.011572,0.554183,0.244535,23.48095,39.0,1.2662727216962806,0.0
0.608044,0.3,0.87358,2.0,140.997614,1253.124367,561.836601,0.016,0.014164,0.49954,0.126091,39.895847,39.0,2.9847123524497667,0.0
0.800000,0.467536,0.647994,7.0,110.697808,777.924609,167.697285,0.00975,0.009323,0.256699,0.169448,32.58563,39.0,0.514913129691705,0.0
0.653930,0.889043,0.701789,3.0,135.737416,1147.918814,151.069157,0.01475,0.012603,0.143072,0.12946,39.304414,39.0,0.11294993334046369,0.0
fitness at iteration,2,,,,,112.995978,,,,,,,,0.0
0.800000,1.05,0.556721,7.0,114.720215,896.43759,114.720215,0.00975,0.009213,0.084477,0.138796,37.54989,39.0,0.0,1.0
0.617413,1.05,1.4,5.0,162.532104,788.844356,280.052597,0.01225,0.011228,0.387743,0.225032,25.501499,39.0,0.7230571652031711,0.0
0.728139,0.3,1.224196,4.0,133.099424,714.703996,512.887466,0.0135,0.010808,0.805961,0.209155,27.248282,39.0,2.853414931510124,0.0
0.738017,0.518934,0.538506,2.0,118.824316,1143.403165,180.558763,0.016,0.012658,0.145587,0.104994,44.183912,39.0,0.5195429132038314,0.0
