D = propeller diameter [m],AEdAO = expanded area ratio,PdD = pitch ratio,Z = propeller's number of blades,P_B = power brake,n = Propeller angular speed [rpm],fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.5807928932525401,0.7693747006620615,1.0092424863202751,7,230.7818490310887,0,-604.3668873034546,0.009749999999999998,0.01173367347863314,0.33890412996062647,0.13834392506187296,37.58247206913371,39.0,1.618779985691337,False
0.6023193795253716,0.7885049917172814,0.7085345888837715,7,213.79873442429954,0,-484.79406654422263,0.009749999999999998,0.01142707101995081,0.19592989960420437,0.10002063342221963,45.3128377942992,39.0,1.2675254268910343,False
0.5241925714471137,0.7106300643418162,1.0301635476901703,7,254.66993348065714,0,-880.4933067912762,0.009749999999999998,0.012326346450757777,0.3828629150260547,0.11977373108127612,41.02125733829923,39.0,2.4573901000298175,False
0.5056106209959642,0.5705027930380093,0.8968492155519876,7,253.71796003557327,0,-1132.146285047085,0.009749999999999998,0.012499908200512076,0.3878731322852724,0.09571759936198575,46.40858906062554,39.0,3.462223663190218,False
0.6670113332594542,0.7773657266113151,0.7316603438961302,7,196.28738250479532,0,-353.13356129657166,0.009749999999999998,0.010896438983572664,0.20139699240401743,0.121873631311282,40.61245604017464,39.0,0.799063988679683,False
fitness at iteration,0,,,,,-353.1388430580731
0.7864367500718421,0.8273446644064532,0.7264803944761881,7,172.69687172919413,0,-207.09903249762138,0.009749999999999998,0.010088413693441907,0.1748155405907414,0.1499712084735331,35.57612316750029,39.0,0.19920546576184212,False
0.5959433618720913,0.9012559073230426,0.9377734614061066,7,224.3645191096541,0,-469.9681759650173,0.009749999999999998,0.011639548096774243,0.2617017795197568,0.13543363076913292,38.123318154687574,39.0,1.0946635316046955,False
0.5777198627335398,0.7607910059784003,0.7694338131184608,7,222.0327061729076,0,-568.4280817664526,0.009749999999999998,0.011703656116207932,0.2322433978124576,0.10318643548477623,44.55618727373958,39.0,1.5601096863801238,False
0.7023064534936821,0.8145514433537366,0.7391172956815639,7,188.70279448411873,0,-287.6019078713987,0.009749999999999998,0.010643857336057291,0.1913473964103434,0.1328689546937717,38.61451584196341,39.0,0.5240998876442361,False
0.6774907086686582,0.7975240111385947,0.757874612157831,7,194.2423151609423,0,-327.64031452959574,0.009749999999999998,0.010836280912018605,0.20577407385336166,0.13001686525705453,39.14990745510116,39.0,0.6867607568316131,False
fitness at iteration,1,,,,,-207.10513501668518
0.8,0.8707741538495006,0.6956920265131037,7,171.31029820963934,0,-184.37568873644014,0.009749999999999998,0.009995255827981638,0.1536689361020563,0.14611060897324898,36.20872122058079,39.0,0.07626739701784996,False
0.737300771013348,0.7770514281624146,0.5726729162043063,7,184.23518738508562,0,-268.32790816739356,0.009749999999999998,0.010265044224933972,0.13339941398871344,0.10476346458084915,44.18421452057963,39.0,0.4564422354701363,False
0.8,0.8173363077503216,0.5,7,179.18197785075944,0,-212.08166731756097,0.009749999999999998,0.009819503047108968,0.09779819248966803,0.09775867880216087,45.869000776937085,39.0,0.18361048282547524,False
0.8,0.8481562749940644,0.5874101241347932,7,173.62892176124507,0,-185.2794163847266,0.009749999999999998,0.009901079356383374,0.12093039631919897,0.12047085444605614,40.87303504903362,39.0,0.06709996528978045,False
0.7658280394725466,0.9080085355641199,0.5997422135178797,7,179.5712076368041,0,-203.48061058538846,0.009749999999999998,0.010111186398347573,0.11821058026987416,0.11545813300397931,41.86986872475779,39.0,0.13314719694341454,False
fitness at iteration,2,,,,,-184.3819628531827
0.8,0.8536130571921178,0.5,7,179.42788395699128,0,-213.17929007004855,0.009749999999999998,0.009810430773183111,0.09273139671158304,0.09687168904269197,46.09588783766421,39.0,0.18810569109284847,False
0.8,0.919248894925605,0.5,7,180.2336959730715,0,-215.96517138747296,0.009749999999999998,0.009796744035988406,0.08446981958594935,0.09514898469026373,46.545697407740555,39.0,0.19825080555269803,False
0.8,0.9647973639646811,0.6791534869121375,7,173.42823929944274,0,-177.7394685778797,0.009749999999999998,0.009998552676395704,0.1323553966275352,0.14150488909007322,37.000757878287104,39.0,0.02485886552185517,False
0.7992935814478399,0.93906930943036,0.6280891284959798,7,173.84871756528264,0,-178.15752894207446,0.009749999999999998,0.009948998802825513,0.12011390895118068,0.12976594783901807,39.18653467379614,39.0,0.024784832681746964,False
0.8,0.9160950717294717,0.6541354622951685,7,172.71640664760795,0,-176.488578130165,0.009749999999999998,0.009967697111233182,0.13185829890436018,0.13635803281565617,37.93801556965266,39.0,0.021840261477031424,False
fitness at iteration,3,,,,,-176.49493520810992
0.8,1.05,0.6125636286266095,7,177.08756812638433,0,-186.46136827809894,0.009749999999999998,0.009943183214547888,0.10103708936328924,0.12347184790096791,40.3066726090263,39.0,0.05293313500710962,False
0.8,0.9536118391915134,0.5806279161446888,7,175.57132584131753,0,-189.9073518526755,0.009749999999999998,0.00989272240407385,0.10359530576994967,0.11666715252497167,41.62183594753841,39.0,0.08165357265864112,False
0.8,1.05,0.7654647785799227,7,175.55073793727914,0,-181.44595376654686,0.009749999999999998,0.010088794479667845,0.14668101019355856,0.15943801482803469,34.01573661779092,39.0,0.03358126487268885,False
0.8,1.045935357743585,0.5578488353233159,7,179.01566561185314,0,-201.5040530287048,0.009749999999999998,0.00986718852116221,0.08632841484695815,0.1081076266103922,43.436088863125484,39.0,0.1256224551074296,False
0.8,0.899767144766664,0.5735938723244779,7,174.89364980539483,0,-189.77527708200486,0.009749999999999998,0.009884520185527618,0.10874747031755058,0.11585073221283594,41.78773572960063,39.0,0.08508958040025424,False
