D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.687129,0.771708,0.914263,2.0,0.0,813.917389,0.0,0.016,0.013369,0.235496,0.192861,29.283102,39.0,0.22106594905138938,0.0
0.604969,0.401983,1.4,2.0,0.0,882.652313,0.0,0.016,0.013601,0.738905,0.203457,27.959004,39.0,2.6317501978305,0.0
0.648954,1.05,0.779098,6.0,100.614363,943.282943,100.614363,0.011,0.010254,0.157216,0.1733,32.051951,39.0,0.0,1.0
0.523575,0.618816,1.025093,6.0,0.0,1213.572827,0.0,0.011,0.011316,0.410638,0.165045,33.269296,39.0,1.5159616579391715,0.0
0.682621,0.547005,0.732583,6.0,0.0,895.165402,0.0,0.011,0.009894,0.269736,0.173656,31.994946,39.0,0.5532777445063802,0.0
0.730774,0.540119,1.056559,7.0,0.0,628.15256,0.0,0.00975,0.009289,0.453874,0.239327,24.035151,39.0,0.8964596556176276,0.0
0.651112,0.89269,0.603918,6.0,98.492739,1119.065533,98.492739,0.011,0.010045,0.124517,0.135727,38.151358,39.0,0.0,1.0
0.800000,1.007528,0.972012,2.0,93.027582,575.39795,93.027582,0.016,0.012331,0.196182,0.238609,24.102213,39.0,0.0,1.0
0.682523,0.343538,1.4,6.0,0.0,672.845267,0.0,0.011,0.009526,0.907084,0.239252,24.045357,39.0,2.791332987812014,0.0
0.572973,0.737906,0.886012,4.0,0.0,1133.579299,0.0,0.0135,0.012037,0.264125,0.160181,34.008272,39.0,0.6489159138724319,0.0
0.733127,0.975603,1.4,7.0,0.0,520.262542,0.0,0.00975,0.009053,0.395458,0.287908,19.971025,39.0,0.3735568306542367,0.0
0.694038,0.777332,1.175853,7.0,0.0,637.381083,0.0,0.00975,0.009506,0.389853,0.248456,23.162257,39.0,0.5691027787616318,0.0
0.573205,0.419354,1.169917,2.0,0.0,1063.968055,0.0,0.016,0.014398,0.568671,0.174087,31.932813,39.0,2.26659084250978,0.0
0.638094,0.820258,0.883184,2.0,0.0,950.202735,0.0,0.016,0.013891,0.218163,0.175284,31.746753,39.0,0.2446258643116314,0.0
0.800000,0.663146,0.885606,7.0,0.0,582.713697,0.0,0.00975,0.008969,0.28414,0.235577,24.408654,39.0,0.20614491227921228,0.0
0.795591,0.897912,0.687155,5.0,83.714162,719.804372,83.714162,0.01225,0.009604,0.134679,0.187504,29.984924,39.0,0.0,1.0
0.566672,1.018169,1.226296,3.0,0.0,913.432238,0.0,0.01475,0.013024,0.336623,0.210854,27.102313,39.0,0.5964743376933802,0.0
0.598683,1.05,0.553331,7.0,0.0,1398.63805,0.0,0.00975,0.010071,0.094251,0.106637,43.843043,39.0,0.1560542864966431,0.0
fitness at iteration,1,,,,,108.777356,,,,,,,,0.0
0.578444,0.97811,0.788232,7.0,0.0,1140.922979,0.0,0.00975,0.010482,0.18457,0.156744,34.555427,39.0,0.24735913767317178,0.0
0.636013,0.419258,1.198443,5.0,0.0,814.900327,0.0,0.01225,0.010599,0.638469,0.210511,27.137448,39.0,2.0329483969958813,0.0
