D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.500000,2,0.425756,0.545183,0.000000,2346.017183,0.247579,1.040131,0.016000,0.015337,0.205002,0.049074,61.418586,39.000000,0.000000,1,11
0.560366,7,0.300000,0.883108,0.000000,1292.262589,0.274497,1.018757,0.009750,0.010963,0.654654,0.136859,37.915909,39.000000,0.000000,1,12
0.607335,5,0.672254,1.169690,0.000000,937.694637,0.271170,1.000631,0.012250,0.011495,0.430640,0.188551,29.818657,39.000000,0.000000,1,13
0.685598,2,0.300000,0.788010,0.000000,1055.249237,0.334429,1.024772,0.016000,0.013191,0.423103,0.137019,37.881178,39.000000,0.000000,1,14
0.639748,7,0.963780,0.904965,0.000000,939.652473,0.305150,1.017375,0.009750,0.010455,0.225636,0.176860,31.475673,39.000000,0.000000,1,15
0.776309,6,0.398008,1.375300,0.000000,565.500593,0.323750,0.987626,0.011000,0.009428,0.775787,0.249841,22.986153,39.000000,0.000000,1,16
0.624513,2,0.673887,0.702148,0.000000,1288.190092,0.276445,1.030203,0.016000,0.014369,0.180858,0.114527,42.123063,39.000000,0.000000,1,17
0.746170,3,0.341740,1.381439,0.000000,654.128751,0.291728,0.987238,0.014750,0.011338,0.799140,0.224471,25.556407,39.000000,0.000000,1,18
0.500000,6,0.477041,0.500000,0.000000,2191.303820,0.248935,1.042989,0.011000,0.011775,0.207310,0.057942,57.368200,39.000000,0.000000,1,19
0.500000,5,0.794737,0.891147,0.000000,1566.543785,0.245459,1.018249,0.012250,0.012726,0.267572,0.120105,41.012020,39.000000,0.000000,1,20
0.764983,7,1.046429,0.500000,0.000000,1060.923199,0.330098,1.042989,0.009750,0.009320,0.071773,0.112736,42.494680,39.000000,0.000000,1,21
0.697937,6,1.003932,1.137708,0.000000,701.851999,0.316130,1.002654,0.011000,0.010343,0.288524,0.223682,25.648405,39.000000,0.000000,1,22
0.750189,5,0.300000,1.400000,0.000000,629.953678,0.309515,0.986064,0.012250,0.009856,0.964275,0.231959,24.744471,39.000000,0.000000,1,23
0.755196,3,0.574861,0.766199,0.000000,837.940787,0.347768,1.026152,0.014750,0.011648,0.234426,0.165684,33.133832,39.000000,0.000000,1,24
0.500000,2,0.726766,0.902497,0.000000,1632.305510,0.216985,1.017531,0.016000,0.016596,0.270503,0.111666,42.733658,39.000000,0.000000,1,25
0.734256,7,0.494691,1.166889,0.000000,649.835113,0.335127,1.000808,0.009750,0.009591,0.559852,0.229720,24.983274,39.000000,0.000000,1,26
0.528836,7,1.029251,1.090909,0.000000,1201.491619,0.248285,1.005614,0.009750,0.011464,0.294296,0.164843,33.269049,39.000000,0.000000,1,27
0.752974,4,0.462304,1.126518,0.000000,668.932942,0.327379,1.003361,0.013500,0.010869,0.505890,0.217054,26.373090,39.000000,0.000000,1,28
0.513773,2,0.752085,1.019681,0.000000,1421.521878,0.218049,1.010119,0.016000,0.016427,0.318106,0.135145,38.240464,39.000000,0.000000,1,29
0.737156,6,0.443573,0.967222,0.000000,727.096468,0.349429,1.013437,0.011000,0.009975,0.466697,0.202216,28.064043,39.000000,0.000000,1,30
best fit at iteration 1,136.758854
0.605724,4,0.466008,1.282992,0.000000,954.589224,0.251770,0.993464,0.013500,0.011990,0.626575,0.185189,30.275416,39.000000,0.000000,2,1
0.800000,3,0.830206,0.548492,0.000000,960.820363,0.334928,1.039922,0.014750,0.011237,0.092954,0.124111,40.246749,39.000000,0.000000,2,2
0.660327,4,0.372289,0.510962,0.000000,1341.278031,0.323372,1.042295,0.013500,0.011237,0.230166,0.096011,46.374237,39.000000,0.000000,2,3
