D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.787919,6,1.050000,1.209828,92.707673,495.087377,0.351236,0.998092,0.011000,0.009323,0.286476,0.281931,20.424999,39.000000,94.202143,1,1
0.500000,7,1.050000,0.832423,128.774538,1450.402987,0.245484,1.021963,0.009750,0.011310,0.194366,0.136715,37.971461,39.000000,200.839112,1,2
0.800000,3,1.050000,0.547580,102.834852,911.051177,0.303977,1.039979,0.014750,0.010972,0.068315,0.135642,38.162022,39.000000,102.834852,1,3
0.601020,2,0.363887,1.400000,144.803663,909.821366,0.226743,0.986064,0.016000,0.013572,0.789513,0.197963,28.631472,39.000000,577.504646,1,4
0.555014,7,0.944464,1.267625,126.827248,928.455388,0.256441,0.994436,0.009750,0.010533,0.386655,0.211929,26.981345,39.000000,240.815574,1,5
0.637235,2,0.733658,0.880616,115.230168,964.905109,0.275950,1.018915,0.016000,0.013872,0.237759,0.172396,32.194607,39.000000,158.918722,1,6
0.704821,3,1.050000,0.500000,120.559996,1239.861513,0.258056,1.042989,0.014750,0.011685,0.061154,0.098510,45.756272,39.000000,141.445539,1,7
0.613393,7,1.050000,0.744358,106.744317,1067.039317,0.295260,1.027533,0.009750,0.010190,0.153252,0.158506,34.270296,39.000000,111.358213,1,8
0.767129,5,0.801602,1.109479,92.986722,561.037560,0.347837,1.004439,0.012250,0.009877,0.318410,0.255436,22.535073,39.000000,115.911282,1,9
0.701562,4,0.891789,0.822093,95.400679,809.837661,0.332547,1.022616,0.013500,0.010876,0.184747,0.189300,29.748334,39.000000,95.400679,1,10
0.510103,5,0.850324,1.400000,151.403255,1068.270457,0.216439,0.986064,0.012250,0.011797,0.475760,0.198784,28.532373,39.000000,362.360334,1,11
0.521066,7,0.968052,0.500000,122.938230,1933.608312,0.252066,1.042989,0.009750,0.010637,0.092786,0.071139,52.754543,39.000000,213.959684,1,12
0.576401,2,0.353485,1.005301,124.922721,1163.506178,0.256214,1.011028,0.016000,0.014189,0.527943,0.153355,35.114949,39.000000,430.062648,1,13
0.774200,4,0.434523,0.875720,86.498770,668.894162,0.368559,1.019224,0.013500,0.010249,0.376665,0.210649,27.114974,39.000000,154.669944,1,14
0.800000,2,0.411159,0.945722,91.799154,639.165560,0.348977,1.014797,0.016000,0.012025,0.388593,0.213689,26.773304,39.000000,166.936888,1,15
0.722477,3,1.050000,1.284363,101.012025,561.091428,0.323456,0.993378,0.014750,0.011393,0.325025,0.271490,21.225419,39.000000,120.930474,1,16
0.800000,6,1.021757,0.787796,84.453612,637.515302,0.375610,1.024786,0.011000,0.009296,0.150755,0.214319,26.704179,39.000000,84.453612,1,17
0.651278,2,1.050000,0.900627,108.684667,881.268515,0.293025,1.017649,0.016000,0.013698,0.182938,0.187058,30.051979,39.000000,108.684667,1,18
0.614498,5,0.712757,0.665673,101.069134,1175.027294,0.310322,1.032510,0.012250,0.010785,0.181552,0.137585,37.806550,39.000000,133.367315,1,19
0.714082,4,0.720491,0.952085,96.635833,718.525465,0.331039,1.014394,0.013500,0.010811,0.278873,0.212898,26.865125,39.000000,126.582391,1,20
0.773548,2,0.300000,1.177277,100.810116,625.501447,0.322260,1.000151,0.016000,0.012012,0.678384,0.226835,25.334609,39.000000,301.487971,1,21
0.791915,4,0.682204,1.337085,100.920060,489.322218,0.325318,0.990043,0.013500,0.010093,0.458922,0.283680,20.289537,39.000000,163.262699,1,22
0.545637,7,0.982456,0.683001,116.197485,1407.979793,0.269833,1.031414,0.009750,0.010689,0.149196,0.124419,40.225260,39.000000,153.195186,1,23
0.591015,3,0.500367,1.052862,122.916398,1018.262746,0.261245,1.008020,0.014750,0.012755,0.444661,0.176858,31.510622,39.000000,309.038613,1,24
0.692250,6,0.983940,0.781084,94.373277,834.182735,0.335266,1.025210,0.011000,0.009927,0.164923,0.185693,30.235892,39.000000,94.373277,1,25
0.500000,5,1.050000,0.500000,136.252575,2208.542085,0.227347,1.042989,0.012250,0.011820,0.077532,0.056887,57.819497,39.000000,251.450291,1,26
0.500000,3,0.977719,0.703377,131.805434,1730.487575,0.237936,1.030125,0.014750,0.013840,0.142239,0.100364,45.304059,39.000000,208.104664,1,27
0.709565,7,1.050000,0.500000,98.590353,1115.074049,0.315565,1.042989,0.009750,0.009259,0.073471,0.118061,41.428052,39.000000,104.728367,1,28
0.502811,4,0.558218,0.600359,119.997421,1870.462141,0.259737,1.036641,0.013500,0.012426,0.203376,0.084041,49.243886,39.000000,321.909432,1,29
0.800000,6,0.786392,0.591853,83.543605,775.464673,0.375181,1.037179,0.011000,0.009138,0.126807,0.170411,32.482588,39.000000,83.543605,1,30
best fit at iteration 1,83.543605
