D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.595423,0.672864,1.094951,4.0,246.581851,1189.040621,676.768787,0.0135,0.013387,0.387474,0.141177,37.069868,39.0,1.7445972077604708,0.0
0.673877,0.558702,0.867327,2.0,221.617862,1142.217835,525.05633,0.016,0.015115,0.288544,0.12353,40.302136,39.0,1.3692093605581122,0.0
0.521736,0.798378,1.4,2.0,305.453978,1287.69482,1056.423466,0.016,0.016944,0.518799,0.152462,35.177295,39.0,2.458521505425294,0.0
0.539648,0.339998,0.814315,6.0,236.191988,1699.994397,1468.953176,0.011,0.01244,0.520738,0.088682,48.034856,39.0,5.219388110400893,0.0
0.519457,0.414214,1.040366,2.0,296.058612,1739.943722,1716.96089,0.016,0.017302,0.505644,0.091756,47.324187,39.0,4.799437999605826,0.0
0.500000,0.633793,0.926789,7.0,258.27567,1748.035544,1076.495026,0.00975,0.012598,0.370173,0.098227,45.763464,39.0,3.168036109995137,0.0
0.714436,0.5705,0.875645,2.0,211.345852,1016.283321,438.044076,0.016,0.014672,0.281802,0.135963,38.016923,39.0,1.0726374087067805,0.0
0.750993,0.583243,0.629221,3.0,180.298853,1117.55571,321.712846,0.01475,0.012408,0.1754,0.105819,43.944398,39.0,0.7843267572669442,0.0
0.699791,0.483783,0.594024,6.0,187.818239,1229.971898,457.99015,0.011,0.010895,0.2306,0.101012,45.067383,39.0,1.43847100461179,0.0
0.644709,0.3,1.168893,2.0,246.349994,1128.308435,1298.428464,0.016,0.015016,0.714731,0.135605,38.088161,39.0,4.270683234394012,0.0
0.540736,0.981243,0.810156,7.0,242.876101,1613.637251,579.209206,0.00975,0.012206,0.198246,0.098525,45.686716,39.0,1.3848058258460973,0.0
0.537637,0.322898,0.578033,4.0,227.848114,2146.887723,1600.076814,0.0135,0.013434,0.329861,0.05096,60.436219,39.0,6.022586201465202,0.0
0.558737,0.976283,1.123252,7.0,249.923262,1239.22282,595.403421,0.00975,0.011992,0.320356,0.14592,36.253967,39.0,1.3823801211041278,0.0
0.712974,0.882856,0.931945,2.0,214.235651,936.369098,305.255467,0.016,0.014905,0.219004,0.153702,34.955809,39.0,0.42486109484587053,0.0
0.516352,0.627297,1.027837,6.0,260.454447,1580.630903,1026.40809,0.011,0.012868,0.412256,0.111422,42.734112,39.0,2.9408643011517914,0.0
0.564934,0.592176,1.061767,7.0,239.569053,1290.453683,854.411924,0.00975,0.011816,0.458505,0.135189,38.171427,39.0,2.5664327783576475,0.0
0.508321,1.05,1.163693,2.0,275.035952,1452.719414,692.440462,0.016,0.017598,0.321951,0.132664,38.66503,39.0,1.5176208852448838,0.0
0.558050,1.002919,0.946792,2.0,257.346599,1433.804407,532.948415,0.016,0.016965,0.223825,0.115384,41.894973,39.0,1.0709389048363152,0.0
0.719183,0.387932,0.943604,5.0,189.619899,921.297529,608.718934,0.01225,0.011308,0.498483,0.155281,34.692707,39.0,2.21019957367611,0.0
fitness at iteration,1,,,,,223.101815,,,,,,,,0.0
0.541518,0.948406,0.97373,6.0,248.383709,1450.173624,594.478728,0.011,0.01269,0.263097,0.119271,41.117994,39.0,1.393358962228139,0.0
0.662088,0.920649,0.561878,2.0,237.950306,1598.144548,438.059791,0.016,0.015057,0.08944,0.062968,55.402597,39.0,0.840983424994055,0.0
0.681699,0.395967,1.4,2.0,265.809301,894.088309,1121.812072,0.016,0.014485,0.732294,0.173514,31.913302,39.0,3.220374148483696,0.0
0.670410,0.741231,0.52912,2.0,223.694714,1617.039538,487.715247,0.016,0.014686,0.102366,0.059348,56.762282,39.0,1.1802864253676273,0.0
0.718480,1.05,1.290021,4.0,213.336324,720.110264,335.769214,0.0135,0.012034,0.330208,0.209803,27.090224,39.0,0.5738955115036487,0.0
0.555021,0.900724,1.12616,7.0,250.359973,1257.40229,649.10055,0.00975,0.012004,0.346856,0.144228,36.541138,39.0,1.5926851841095726,0.0
0.524406,0.766629,1.264291,6.0,282.775868,1357.504324,962.444928,0.011,0.012696,0.457972,0.140054,37.274113,39.0,2.40355267955022,0.0
0.646546,1.05,0.621311,7.0,208.720024,1402.844925,329.195181,0.00975,0.010991,0.113439,0.091002,47.490639,39.0,0.5771742762645297,0.0
0.544294,0.4306,0.697171,2.0,244.039541,1996.322717,1275.282617,0.016,0.016331,0.28018,0.059027,56.893506,39.0,4.225717415243447,0.0
0.651280,0.959881,1.145915,3.0,228.790825,942.117869,403.685234,0.01475,0.013857,0.303785,0.172172,32.127114,39.0,0.7644274330320845,0.0
