D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.715065,6,0.353128,0.796411,149.598007,934.740720,0.341067,1.024241,0.011000,0.010503,0.453522,0.153656,34.997346,39.000000,0.000000,0,1
0.729188,6,0.705029,1.209209,163.169885,691.190893,0.320959,0.998131,0.011000,0.010405,0.424915,0.216512,26.389817,39.000000,0.000000,0,2
0.609181,3,0.501316,1.078984,200.632991,1120.668355,0.258243,1.006368,0.014750,0.013707,0.459406,0.149183,35.745544,39.000000,0.000000,0,3
0.636449,7,0.441900,0.535743,171.127308,1429.537859,0.292946,1.040728,0.009750,0.010685,0.234321,0.090467,47.638478,39.000000,0.000000,0,4
0.786619,2,0.309595,0.558774,130.222013,1077.527120,0.386707,1.039271,0.016000,0.012484,0.250391,0.104018,44.380419,39.000000,0.000000,0,5
0.596380,4,0.967951,1.135219,196.527191,1038.592939,0.264507,1.002811,0.013500,0.012932,0.305812,0.170373,32.431527,39.000000,0.000000,0,6
0.622779,3,0.512822,0.730696,171.878689,1344.169857,0.295073,1.028397,0.014750,0.013273,0.261372,0.106468,43.831548,39.000000,0.000000,0,7
0.640484,4,0.981642,0.881281,172.535864,1073.369464,0.296812,1.018873,0.013500,0.012439,0.197883,0.147639,35.996156,39.000000,0.000000,0,8
0.776352,7,1.046603,0.755289,144.971851,806.675208,0.351493,1.026842,0.009750,0.009883,0.145296,0.167784,32.791104,39.000000,0.000000,0,9
0.612188,4,1.004404,0.862719,178.816652,1184.336271,0.285883,1.020047,0.013500,0.012718,0.190087,0.136442,37.962834,39.000000,0.000000,0,10
0.767485,5,0.764349,1.103502,153.507586,665.568414,0.339162,1.004817,0.012250,0.010704,0.333372,0.213214,26.746162,39.000000,0.000000,0,11
0.598540,3,0.779510,0.743957,184.727957,1405.915908,0.274656,1.027558,0.014750,0.013759,0.185228,0.105450,44.060702,39.000000,0.000000,0,12
0.723561,4,0.734519,0.717830,149.422965,993.523196,0.339882,1.029211,0.013500,0.011494,0.180658,0.138160,37.640201,39.000000,0.000000,0,13
0.604548,4,0.622699,0.818218,176.935819,1283.476321,0.288081,1.022861,0.013500,0.012647,0.271928,0.121963,40.627241,39.000000,0.000000,0,14
