D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid,seed,iteration
0.694871,1.047988,1.365798,4.0,180.615139,688.734458,288.925718,0.0135,0.011681,0.365751,0.228641,25.05847,39.0,0.599673724310163,0.0,5,1
0.743349,0.37869,1.4,7.0,174.703723,655.789842,668.735843,0.00975,0.009617,0.858839,0.224367,25.52443,39.0,2.8278311872958146,0.0,5,1
0.782202,0.540572,1.311123,4.0,168.282975,614.61739,400.631427,0.0135,0.010995,0.54168,0.22753,25.172285,39.0,1.3806970509383378,0.0,5,1
0.685328,0.479854,1.4,3.0,203.616864,788.934974,666.805774,0.01475,0.012497,0.654634,0.1999,28.309915,39.0,2.2748074037018515,0.0,5,1
0.532080,0.993364,1.3856,7.0,228.187919,1139.875874,585.845281,0.00975,0.011501,0.42222,0.17482,31.756527,39.0,1.567417519669529,0.0,5,1
0.569996,0.678109,1.248909,6.0,208.83167,1094.536137,616.515117,0.011,0.01171,0.48789,0.168727,32.666369,39.0,1.952226052082162,0.0,5,1
0.739504,1.033156,1.12471,6.0,158.148697,685.624067,199.878522,0.011,0.010466,0.271781,0.21504,26.547584,39.0,0.2638625372023809,0.0,5,1
0.605815,1.05,0.984886,5.0,183.111694,1090.931853,270.378249,0.01225,0.012125,0.230439,0.156063,34.60477,39.0,0.47657676707483515,0.0,5,1
0.651736,0.532599,0.827056,5.0,161.635648,1092.722556,373.320859,0.01225,0.011473,0.323599,0.140108,37.288977,39.0,1.3096397065121193,0.0,5,1
0.617452,1.05,1.4,7.0,198.270193,850.509064,393.021064,0.00975,0.010646,0.392353,0.206707,27.496707,39.0,0.9822748860527857,0.0,5,1
0.786377,0.796178,1.097961,5.0,150.009134,636.188933,217.464453,0.01225,0.010587,0.316495,0.218321,26.194835,39.0,0.4496773100159858,0.0,5,1
0.683297,0.820051,1.3413,4.0,189.097133,742.80732,377.051128,0.0135,0.011836,0.428334,0.214816,26.575681,39.0,0.993957619544168,0.0,5,1
0.522184,0.591554,1.103532,4.0,225.366757,1438.254706,782.164757,0.0135,0.013755,0.445001,0.129218,39.324004,39.0,2.470646907392168,0.0,5,1
0.633021,0.678685,0.779213,6.0,163.728176,1165.66957,308.034765,0.011,0.011156,0.248238,0.132931,38.636,39.0,0.8814034463011499,0.0,5,1
0.653159,0.552403,1.00129,5.0,170.294274,975.602242,420.844312,0.01225,0.011523,0.405151,0.163944,33.36492,39.0,1.4712767774361974,0.0,5,1
0.800000,0.783799,1.4,2.0,168.311885,540.824141,298.969165,0.016,0.012936,0.44933,0.252961,22.653989,39.0,0.7762817193164164,0.0,5,1
0.500000,0.742658,0.90398,7.0,207.691741,1636.118743,640.814704,0.00975,0.012186,0.309635,0.111091,42.833489,39.0,2.085415602812391,0.0,5,1
0.500000,0.3,0.5,3.0,194.87531,2570.051395,1542.286371,0.01475,0.014189,0.282056,0.039234,67.283788,39.0,6.914296037314574,0.0,5,1
0.794775,0.492514,1.050752,7.0,142.307358,638.830222,318.18814,0.00975,0.009661,0.479977,0.214666,26.584491,39.0,1.2359246457287132,0.0,5,1
0.520450,0.541256,0.748681,5.0,193.656415,1774.31549,708.781827,0.01225,0.012761,0.295625,0.087459,48.351339,39.0,2.659977079541474,0.0,5,1
0.586451,0.631793,0.685702,3.0,182.865949,1554.646925,447.708593,0.01475,0.013712,0.200283,0.090046,47.737753,39.0,1.4482747868007064,0.0,5,1
0.500000,0.583243,1.193948,7.0,227.60102,1439.561774,951.216991,0.00975,0.012034,0.550382,0.137958,37.687639,39.0,3.179285133984327,0.0,5,1
0.793653,0.984743,1.037653,6.0,144.915404,632.661088,163.403554,0.011,0.010131,0.245142,0.217405,26.290581,39.0,0.12758216232377367,0.0,5,1
0.624638,0.405615,0.865604,6.0,168.425145,1148.464592,563.952757,0.011,0.011204,0.461604,0.138613,37.561634,39.0,2.348371620381371,0.0,5,1
0.707545,0.767123,0.731784,3.0,159.445177,1043.554476,207.031327,0.01475,0.0126,0.172421,0.13279,38.660521,39.0,0.2984486783643347,0.0,5,1
0.662212,0.361272,1.192139,6.0,177.677108,889.327014,728.469939,0.011,0.01076,0.741853,0.180941,30.835959,39.0,3.099971814016724,0.0,5,1
0.687845,0.767878,1.233429,5.0,177.847932,768.512071,350.013486,0.01225,0.01123,0.403694,0.205124,27.678311,39.0,0.9680485949961974,0.0,5,2
0.514901,0.530225,0.5,4.0,195.747523,2360.635324,854.902398,0.0135,0.013177,0.167917,0.044952,63.643138,39.0,3.3673487271756546,0.0,5,2
0.783155,0.465544,0.5,4.0,138.631664,1079.243716,239.55277,0.0135,0.010777,0.166591,0.104562,44.255372,39.0,0.7279801131518582,0.0,5,2
0.749669,0.846856,0.5,7.0,151.525092,1150.164506,175.732345,0.00975,0.009771,0.096325,0.100783,45.146946,39.0,0.1597632170709242,0.0,5,2
0.639638,1.012278,1.224478,5.0,187.89411,863.454512,313.365473,0.01225,0.011708,0.325474,0.195154,28.918261,39.0,0.6677803170829191,0.0,5,2
0.743349,0.37869,1.27316,2.0,187.415797,744.881626,621.080856,0.016,0.013516,0.644715,0.194548,28.99203,39.0,2.313912247877131,0.0,5,2
0.641220,0.540572,1.136668,2.0,206.846763,993.769468,563.352608,0.016,0.015046,0.446515,0.163947,33.365029,39.0,1.7235326050491926,0.0,5,2
0.685328,0.479854,1.260841,3.0,193.832542,830.444651,584.274299,0.01475,0.012748,0.567858,0.188386,29.799436,39.0,2.01433227522215,0.0,5,2
0.767422,0.312844,0.822871,3.0,140.526065,867.865835,408.502281,0.01475,0.011818,0.448789,0.154385,34.872674,39.0,1.9069469184182402,0.0,5,2
0.500000,0.678109,1.4,3.0,267.693156,1360.04153,1007.220602,0.01475,0.014914,0.563065,0.150086,35.605804,39.0,2.7626121195498716,0.0,5,2
0.739504,0.826006,0.5,7.0,152.807992,1175.237154,180.646105,0.00975,0.009835,0.099991,0.099321,45.505561,39.0,0.1821976633681317,0.0,5,2
0.500000,0.728596,0.984886,5.0,217.192024,1607.723789,667.004922,0.01225,0.013278,0.333943,0.114585,42.09011,39.0,2.071024133670148,0.0,5,2
0.772428,0.690338,0.827056,2.0,159.048361,838.946558,210.476553,0.016,0.013601,0.212023,0.160217,33.930561,39.0,0.32334895797574537,0.0,5,2
0.617452,0.336476,1.095616,4.0,187.87122,1105.285958,842.546482,0.0135,0.012357,0.669361,0.149254,35.733569,39.0,3.4847106275208706,0.0,5,2
0.565275,0.781539,0.5,7.0,186.267642,1906.791984,475.936748,0.00975,0.01112,0.119581,0.060247,56.436731,39.0,1.5551428239745981,0.0,5,2
0.800000,0.677369,1.3413,4.0,166.031951,566.171251,321.244925,0.0135,0.010896,0.467452,0.241598,23.715726,39.0,0.9348338976316027,0.0,5,2
0.523396,1.05,1.255583,4.0,226.54265,1238.29963,496.493644,0.0135,0.01372,0.34868,0.160269,33.935526,39.0,1.191627270892794,0.0,5,2
0.679644,1.05,1.395679,6.0,187.339516,713.472246,312.091126,0.011,0.010627,0.37585,0.225612,25.389686,39.0,0.6659131606474833,0.0,5,2
0.599552,0.552403,1.072176,5.0,189.194738,1108.789369,553.644186,0.01225,0.012022,0.453077,0.154828,34.807644,39.0,1.9263246957914588,0.0,5,2
0.770220,0.518787,1.112574,2.0,173.343663,717.820004,372.562818,0.016,0.013615,0.418812,0.194862,28.948682,39.0,1.1492748714474859,0.0,5,2
0.600194,0.91103,0.90398,3.0,189.881759,1208.792742,306.949442,0.01475,0.013956,0.220354,0.136313,37.987596,39.0,0.6165296046598637,0.0,5,2
0.684406,0.331054,0.737829,4.0,151.626878,1106.526913,487.987114,0.0135,0.011661,0.407523,0.127287,39.652831,39.0,2.2183466475813893,0.0,5,2
0.794775,0.492514,0.635598,5.0,134.710069,886.171542,214.250597,0.01225,0.010318,0.226476,0.142397,36.877434,39.0,0.5904548550882394,0.0,5,2
0.520450,0.541256,0.612064,5.0,190.509102,1997.927278,734.375255,0.01225,0.0126,0.225639,0.065765,54.444917,39.0,2.85479041855389,0.0,5,2
0.527107,0.444438,1.174196,5.0,222.855553,1393.518244,1039.293987,0.01225,0.012704,0.619458,0.133855,38.460061,39.0,3.6635653963408465,0.0,5,2
0.625452,0.316793,0.507641,6.0,172.506893,1535.945902,705.118746,0.011,0.011106,0.302035,0.079731,50.300055,39.0,3.0874646296615444,0.0,5,2
0.793653,0.396881,0.650627,6.0,138.175596,861.803175,278.517738,0.011,0.00999,0.299755,0.148712,35.812707,39.0,1.0156745925009412,0.0,5,2
0.800000,0.405615,0.916252,6.0,138.357746,697.854838,330.74205,0.011,0.009977,0.460498,0.192638,29.231675,39.0,1.390483705187969,0.0,5,2
0.792765,0.661043,1.156162,5.0,151.975464,617.160708,270.613124,0.01225,0.010485,0.397995,0.223513,25.617776,39.0,0.7806346834412317,0.0,5,2
0.507910,0.625034,0.714215,4.0,201.394505,1943.043795,698.434004,0.0135,0.01368,0.233741,0.074681,51.673481,39.0,2.4679779463000897,0.0,5,2
0.500000,0.43363,0.50749,5.0,199.24731,2397.696654,1090.810245,0.01225,0.012717,0.224474,0.04649,62.771552,39.0,4.474685694646963,0.0,5,3
0.514901,0.419654,1.058478,6.0,212.716105,1507.404941,1073.596717,0.011,0.012305,0.597269,0.121916,40.639899,39.0,4.047123778878513,0.0,5,3
0.783155,0.3,1.228582,6.0,154.605464,644.4444,618.332389,0.011,0.009867,0.864431,0.216139,26.42603,39.0,2.99942166846335,0.0,5,3
0.800000,0.846856,1.163657,7.0,145.478863,577.100025,209.928772,0.00975,0.009645,0.341992,0.236998,24.173509,39.0,0.44301639676284205,0.0,5,3
0.639638,1.012278,1.181852,7.0,180.357899,865.926361,313.5055,0.00975,0.010771,0.31969,0.194528,29.001046,39.0,0.7382053715684713,0.0,5,3
0.743349,0.460757,0.75472,4.0,143.632707,925.466762,292.161864,0.0135,0.011281,0.299945,0.147459,36.020704,39.0,1.0340908320278857,0.0,5,3
0.739670,0.523375,1.136668,3.0,172.239672,750.142159,400.418156,0.01475,0.012396,0.451182,0.194076,29.052283,39.0,1.324769677858159,0.0,5,3
0.685328,0.3,1.260841,3.0,187.687886,880.826455,864.151066,0.01475,0.012445,0.809161,0.175744,31.607323,39.0,3.604202703932993,0.0,5,3
0.532080,1.044254,1.4,3.0,222.544623,1106.494693,525.671268,0.01475,0.014284,0.427678,0.181059,30.82654,39.0,1.3620919147902066,0.0,5,3
0.581425,0.678109,0.709561,7.0,176.615778,1428.036412,419.031241,0.00975,0.011208,0.230015,0.108101,43.474205,39.0,1.3725875096794626,0.0,5,3
0.663868,0.3,0.631121,7.0,165.825045,1207.777859,625.42644,0.00975,0.010569,0.416285,0.115072,41.982437,39.0,2.771568148642098,0.0,5,3
0.572185,0.414065,0.865016,5.0,182.511863,1383.743764,701.901258,0.01225,0.012198,0.445184,0.117686,41.456334,39.0,2.845794812341577,0.0,5,3
0.651736,0.399246,1.080968,5.0,174.929174,966.775889,618.463509,0.01225,0.011432,0.588531,0.166463,32.991068,39.0,2.5355063888071223,0.0,5,3
0.500000,0.3,1.4,5.0,260.592629,1526.830707,2114.407925,0.01225,0.012527,1.012698,0.125539,39.972334,39.0,7.113843837171106,0.0,5,3
