D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.539142,4,0.594574,1.252885,0.000000,1170.405135,0.227444,0.995369,0.013500,0.012878,0.520078,0.166394,33.039834,39.000000,0.000000,1,11
0.724487,5,0.874671,1.400000,0.000000,594.020129,0.297642,0.986064,0.012250,0.010351,0.426282,0.254951,22.533588,39.000000,0.000000,1,12
0.735581,5,0.531908,1.337852,0.000000,624.532218,0.306000,0.989994,0.012250,0.010240,0.587256,0.238697,24.053813,39.000000,0.000000,1,13
0.508393,5,0.300000,1.310713,0.000000,1386.841633,0.217354,0.991711,0.012250,0.012097,0.949532,0.142416,36.916870,39.000000,0.000000,1,14
0.577271,2,0.334905,1.214237,0.000000,1162.045332,0.231000,0.997813,0.016000,0.014786,0.703612,0.153131,35.123803,39.000000,0.000000,1,15
0.537079,5,0.943260,1.359308,0.000000,1058.232084,0.228335,0.988637,0.012250,0.012112,0.419047,0.189025,29.758960,39.000000,0.000000,1,16
0.593837,2,0.300000,0.662967,0.000000,1526.171529,0.302924,1.032681,0.016000,0.014016,0.352081,0.091381,47.453595,39.000000,0.000000,1,17
0.744308,3,0.924341,1.075056,0.000000,664.908046,0.322393,1.006616,0.014750,0.011995,0.264347,0.221363,25.912731,39.000000,0.000000,1,18
0.695195,5,0.809917,0.859864,0.000000,859.559595,0.332531,1.020227,0.012250,0.010782,0.226321,0.178086,31.288240,39.000000,0.000000,1,19
0.800000,2,1.012115,0.968164,120.825089,628.242950,0.340639,1.013377,0.016000,0.012904,0.196008,0.217570,26.315779,39.000000,120.825089,1,20
0.730292,4,0.300000,1.395254,0.000000,677.218554,0.296466,0.986364,0.013500,0.010545,0.931326,0.221518,25.895489,39.000000,0.000000,1,21
0.793950,7,1.050000,1.341260,0.000000,498.463604,0.347094,0.989779,0.009750,0.009168,0.339563,0.277415,20.721694,39.000000,0.000000,1,22
0.733899,5,0.401011,0.500000,0.000000,1091.021612,0.342450,1.042989,0.012250,0.010240,0.209527,0.115468,41.924515,39.000000,0.000000,1,23
0.776748,5,0.707986,1.185408,0.000000,581.298836,0.338690,0.999637,0.012250,0.010186,0.389917,0.242850,23.641685,39.000000,0.000000,1,24
0.710250,2,0.642126,0.890268,0.000000,865.593652,0.299506,1.018304,0.016000,0.013669,0.260375,0.172201,32.190211,39.000000,0.000000,1,25
0.652446,5,0.497700,0.875357,0.000000,978.753426,0.317224,1.019247,0.012250,0.011034,0.369645,0.163690,33.436173,39.000000,0.000000,1,26
0.785873,4,0.464429,1.358870,0.000000,563.647984,0.315311,0.988665,0.013500,0.010422,0.633889,0.247566,23.193101,39.000000,0.000000,1,27
0.641642,7,0.645308,0.917187,0.000000,938.340206,0.313458,1.016602,0.009750,0.010344,0.335020,0.176538,31.524735,39.000000,0.000000,1,28
