D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.715065,0.353128,0.796411,6.0,149.598007,934.74072,0.0,0.011,0.010503,0.453522,0.153656,34.997346,39.0,1.9515411048055396,0.0
0.729188,0.705029,1.209209,6.0,163.169885,691.190893,0.0,0.011,0.010405,0.424915,0.216512,26.389817,39.0,0.9625471105527637,0.0
0.609181,0.501316,1.078984,3.0,200.632991,1120.668355,0.0,0.01475,0.013707,0.459406,0.149183,35.745544,39.0,2.0794795653660265,0.0
0.636449,0.4419,0.535743,7.0,171.127308,1429.537859,0.0,0.00975,0.010685,0.234321,0.090467,47.638478,39.0,1.8991320717819704,0.0
0.786619,0.309595,0.558774,2.0,130.222013,1077.52712,0.0,0.016,0.012484,0.250391,0.104018,44.380419,39.0,1.5451486018795562,0.0
0.596380,0.967951,1.135219,4.0,196.527191,1038.592939,0.0,0.0135,0.012932,0.305812,0.170373,32.431527,39.0,0.7949557735087132,0.0
0.622779,0.512822,0.730696,3.0,171.878689,1344.169857,0.0,0.01475,0.013273,0.261372,0.106468,43.831548,39.0,1.578820662248823,0.0
0.640484,0.981642,0.881281,4.0,172.535864,1073.369464,0.0,0.0135,0.012439,0.197883,0.147639,35.996156,39.0,0.34031658301668266,0.0
0.776352,1.046603,0.755289,7.0,144.971851,806.675208,0.0,0.00975,0.009883,0.145296,0.167784,32.791104,39.0,0.013457452190630319,0.0
0.612188,1.004404,0.862719,4.0,178.816652,1184.336271,0.0,0.0135,0.012718,0.190087,0.136442,37.962834,39.0,0.39317072455695457,0.0
0.767485,0.764349,1.103502,5.0,153.507586,665.568414,0.0,0.01225,0.010704,0.333372,0.213214,26.746162,39.0,0.5635558640614595,0.0
0.598540,0.77951,0.743957,3.0,184.727957,1405.915908,0.0,0.01475,0.013759,0.185228,0.10545,44.060702,39.0,0.8863097168180326,0.0
0.723561,0.734519,0.71783,4.0,149.422965,993.523196,0.0,0.0135,0.011494,0.180658,0.13816,37.640201,39.0,0.30759988419224094,0.0
0.604548,0.622699,0.818218,4.0,176.935819,1283.476321,0.0,0.0135,0.012647,0.271928,0.121963,40.627241,39.0,1.2713183494033604,0.0
0.615670,0.329158,0.81724,3.0,171.236104,1319.331385,0.0,0.01475,0.013225,0.452518,0.112473,42.530523,39.0,3.113874056469621,0.0
0.710031,0.721882,0.825648,3.0,161.455618,956.301714,0.0,0.01475,0.012674,0.219888,0.150354,35.552557,39.0,0.4624685741649708,0.0
0.784745,0.339119,0.705796,2.0,135.588386,939.19069,0.0,0.016,0.012788,0.314178,0.133127,38.590539,39.0,1.3599870800063099,0.0
0.779165,0.790342,0.918265,3.0,153.036942,746.142797,0.0,0.01475,0.012181,0.230641,0.183678,30.440391,39.0,0.2556811376430493,0.0
0.798999,0.363259,0.607264,6.0,139.403078,886.581774,0.0,0.011,0.009962,0.298186,0.141181,37.090603,39.0,1.1120830706681495,0.0
0.724500,0.953661,0.991871,7.0,154.29833,760.34809,0.0,0.00975,0.010224,0.251732,0.195683,28.843619,39.0,0.33278904076414295,0.0
0.625097,0.635989,0.538066,2.0,182.155028,1682.428946,0.0,0.016,0.014536,0.126753,0.063972,55.065931,39.0,1.3933294285528763,0.0
0.593322,0.828753,0.806993,6.0,175.535295,1282.74063,0.0,0.011,0.011572,0.219942,0.126198,39.849957,39.0,0.8140561185102557,0.0
0.669893,0.6173,1.019362,7.0,163.109745,883.440491,0.0,0.00975,0.01051,0.400017,0.179894,30.987148,39.0,1.2959382191206226,0.0
0.619699,0.589785,1.093092,4.0,191.1766,1040.699541,0.0,0.0135,0.012587,0.42345,0.161315,33.767983,39.0,1.624988376778353,0.0
