D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.500000,3,0.611528,1.217318,200.822440,1379.628122,0.206884,0.997618,0.014750,0.014620,0.489546,0.147117,36.118580,39.000000,668.254792,2,11
0.570755,2,0.389407,0.500000,140.865598,1928.499832,0.282566,1.042989,0.016000,0.014147,0.192043,0.057292,57.632545,39.000000,539.482207,2,12
0.697090,7,0.789079,0.722712,120.458524,930.637608,0.335812,1.028902,0.009750,0.009924,0.189625,0.160213,33.967871,39.000000,144.687547,2,13
0.665899,3,0.492406,0.500000,125.287471,1390.629525,0.318331,1.042989,0.014750,0.011956,0.156152,0.086973,48.486232,39.000000,255.416273,2,14
0.500000,7,1.050000,0.888191,169.159815,1516.636835,0.240590,1.018436,0.009750,0.011841,0.215771,0.127187,39.705459,39.000000,319.904382,2,15
0.579021,7,0.716705,1.073854,148.802245,1036.685514,0.277165,1.006692,0.009750,0.010862,0.390891,0.177184,31.429681,39.000000,343.516422,2,16
0.691636,3,0.789369,0.742488,128.555107,995.174144,0.315027,1.027651,0.014750,0.012265,0.172259,0.147549,36.039213,39.000000,150.084843,2,17
0.606439,2,0.798886,0.646115,152.522717,1438.452661,0.263480,1.033747,0.016000,0.014588,0.136055,0.098756,45.675328,39.000000,236.235238,2,18
0.618066,7,0.669261,0.675696,132.288685,1214.492217,0.304417,1.031876,0.009750,0.010455,0.211978,0.129475,39.303212,39.000000,226.538911,2,19
0.644654,4,0.499741,0.730068,127.376789,1135.904981,0.317383,1.028437,0.013500,0.011620,0.277270,0.134590,38.341337,39.000000,262.410337,2,20
0.756539,7,0.472828,0.831700,113.273348,740.475630,0.359948,1.022009,0.009750,0.009564,0.367090,0.192178,29.331935,39.000000,216.370367,2,21
0.725623,7,0.666901,0.910733,117.417608,747.311478,0.348742,1.017010,0.009750,0.009768,0.308693,0.199527,28.392994,39.000000,181.872549,2,22
0.523119,4,0.484087,0.895685,161.319626,1507.164320,0.252537,1.017962,0.013500,0.013043,0.395867,0.118712,41.281915,39.000000,547.390138,2,23
0.800000,5,0.368107,0.592006,107.187892,844.429268,0.375185,1.037169,0.012250,0.009906,0.273519,0.151628,35.371370,39.000000,193.354719,2,24
0.677913,2,0.562113,1.069759,150.863062,852.720390,0.273872,1.006951,0.016000,0.014029,0.387992,0.185218,30.267671,39.000000,316.024964,2,25
0.551525,2,0.843565,0.682622,166.036467,1642.457161,0.242285,1.031438,0.016000,0.015440,0.146512,0.091489,47.430502,39.000000,301.786061,2,26
0.670239,2,0.462861,0.503378,126.347713,1424.499644,0.315721,1.042775,0.016000,0.013144,0.154387,0.081013,49.990874,39.000000,276.388782,2,27
0.800000,3,0.726552,1.025205,121.680671,615.712796,0.339445,1.009769,0.014750,0.011558,0.288462,0.222382,25.790917,39.000000,157.837542,2,28
0.800000,6,0.499481,1.309116,123.080522,531.669050,0.341671,0.991812,0.011000,0.009429,0.605499,0.257955,22.270501,39.000000,288.907859,2,29
0.800000,7,0.456166,1.239299,118.445403,540.282206,0.353457,0.996228,0.009750,0.009158,0.629550,0.253779,22.631288,39.000000,293.828277,2,30
best fit at iteration 2,135.421532
0.800000,4,0.457946,1.400000,133.401811,538.482547,0.317073,0.986064,0.013500,0.010256,0.662291,0.254635,22.555904,39.000000,346.969825,3,1
0.500000,6,0.502714,1.235511,185.704842,1354.240375,0.223979,0.996468,0.011000,0.011936,0.621058,0.151227,35.453930,39.000000,777.216535,3,2
0.800000,2,0.598624,0.735307,116.821443,796.413885,0.347281,1.028105,0.016000,0.012599,0.195678,0.164149,33.360107,39.000000,139.259843,3,3
0.633239,7,0.472252,0.500000,136.939108,1391.087675,0.291021,1.042989,0.009750,0.010285,0.199339,0.096984,46.123345,39.000000,313.602345,3,4
0.553371,2,0.973127,0.687801,166.675688,1617.689452,0.241445,1.031110,0.016000,0.015466,0.129314,0.094000,46.871659,39.000000,262.934999,3,5
0.800000,2,0.556658,0.500000,114.677381,1041.838029,0.348710,1.042989,0.016000,0.012148,0.116708,0.107418,43.640409,39.000000,138.240977,3,6
